Scope,Question_Type,Type,Cognitive_Level,Target_Sentence_Rule,Question_Template,Distractor_Rule,Question_Text,Option_A,Option_B,Option_C,Option_D,Answer,Explanation,,
中間段落 (Body Paragraphs),事件排序題 (Sequence of Events),MC,Integrative (統整理解),"尋找帶有 first, then, next, finally 等順序詞的段落。",What did [Character] do first/next?,打亂文章中的事件發生順序作為錯誤選項。,What did Anna do first?,She phoned her friend,She ate breakfast,She packed her bag,She watched TV,She ate breakfast,"The text says 'First, Anna ate breakfast. Then, she packed her bag.'",,
中間段落 (Body Paragraphs),對話回應題 (Dialogue Response),MC,Integrative (統整理解),尋找文章中的對話，或根據情境設計合理的應答。,What did [Character A] say when [Character B] asked [Question]?,使用語法正確但答非所問的句子。,What did the guide say when Tom asked a question?,That's a great question!,It's half past two.,I don't like pizza.,She is my sister.,That's a great question!,The guide praised Tom for asking about the dinosaur.,,
中間段落 (Body Paragraphs),對話回應題 (Dialogue Response),MC,Integrative (統整理解),尋找日常交際用語或提問。,[Character] asks: [Question]?,答非所問，或時態、人稱錯誤的選項。,Paul asks: Would you like some juice?,"Yes, please.",It's Tuesday.,My name is Paul.,I am ten.,"Yes, please.","When someone asks 'Would you like...', we answer 'Yes, please' or 'No, thank you.'",,
全篇 (Whole Text),語法與字彙克漏字 (Grammar & Vocabulary Cloze),MC,Literal (字面擷取),挖空文章中的比較級、最高級或常見詞彙。,The [Noun] was ___ than they thought.,使用同義但詞性錯誤的字，或不符合文法的變化形。,The museum was ___ than they thought.,bigger,big,biggest,more big,bigger,We use the comparative form 'bigger' with 'than'.,,
全篇 (Whole Text),時態應用題 (Tense Application),MC,Literal (字面擷取),"挖空帶有明確時間副詞（如 last year, tomorrow）的動詞。",[Time expression] we ___ to [Place].,提供相同動詞的其他時態（現在式、進行式）。,Last year we ___ to London.,go,went,going,will go,went,'Last year' means we must use the past tense 'went'.,,
全篇 (Whole Text),介系詞應用題 (Preposition Application),MC,Literal (字面擷取),挖空表示地點、時間或空間關係的介系詞。,The children played ___ the garden.,提供其他常見但在此語境中錯誤的介系詞（如 on, at, to）。,The children played ___ the garden.,in,on,at,to,in,We use 'in' for enclosed spaces like a garden.
最後一段 (Conclusion),故事寓意題 (Theme/Moral),MC,Integrative (統整理解),分析故事结局，總結傳遞的核心價值。,What is the theme of the story?,使用文章中的枝微末節作為選項，或與本文無關的道理。,What is the theme of the story?,Friendship is important,Money is everything,Never go to the forest,Always wake up early,Friendship is important,The story shows how friends help each other in difficult times.,,
最後一段 (Conclusion),核心問題題 (Core Problem),MC,Integrative (統整理解),尋找故事中主角遇到的主要困難或衝突。,What was the problem in the story?,描述故事中微不足道的小麻煩，或未發生的問題。,What was the problem in the story?,They lost their map,They had no food,It was raining,They lost their money,They lost their map,The main conflict was that they couldn't find their way without the map.,,
最後一段 (Conclusion),解決方案題 (Solution),MC,Integrative (統整理解),尋找故事結尾如何解決上述困難的句子。,How was the problem solved?,提出一個合理但故事中並非如此解決的方案。,How was the problem solved?,A police officer helped them,They bought a new map,They walked home,They called their mom,A police officer helped them,The story ends with a police officer showing them the right way.,,
全篇 (Whole Text),最佳標題題 (Best Title/Main Idea),MC,Integrative (統整理解),總結全篇核心事件與主角。,What is the best name for the story?,使用只涵蓋單一段落內容的標題，或完全無關的標題。,What is the best name for the story?,A day at the zoo,My new school bag,The lost puppy,The rainy day,The lost puppy,Look at the whole story. It is about a boy finding his lost dog.,,
最後一段 (Conclusion),故事總結題 (Summary/Moral),MC,Integrative (統整理解),總結主角學到的教訓。,What is the most important lesson in this text?,提出負面或與故事發展相悖的教訓。,What is the most important lesson in this text?,Always tell the truth,Never go outside in the rain,Don't help your friends,Don't talk to strangers,Always tell the truth,"At the end of the story, the boy learned that telling the truth is important.",,
全篇 (Whole Text),敘事者分析題 (Narrator Analysis),MC,Inferential (推論理解),"尋找文章中的代名詞 (I, we, he, she) 來判斷視角。",Who is telling the story?,列出故事中的其他配角，或第三人稱觀察者。,Who is telling the story?,Tom,Tom's grandpa,A teacher,A police officer,Tom,"The story uses 'I', and we know the boy's name is Tom.",,
全篇 (Whole Text),寫作目的題 (Author's Purpose),MC,Integrative (統整理解),分析整篇文章的文體（敘事、說明、說服）。,Why did the author write this text?,提出與文章文體不符的目的（如將故事說成廣告）。,Why did the author write this text?,To tell a story about a trip,To explain how to do homework,To sell tickets to a museum,To teach how to cook,To tell a story about a trip,The text is a narrative about a family's holiday.,,
獨立字彙區 (Vocabulary Section),同義字/字義配對題 (Vocabulary Matching),MC,Literal (字面擷取),挑選 Flyers 單字表中的形容詞或動詞，尋找其英文釋義。,Which word means '[Definition]'?,提供拼寫相似或詞性相同的其他單字。,Which word means 'not expensive'?,cheap,heavy,empty,clean,cheap,'Cheap' means it does not cost a lot of money.,,
