Word,POS,Definition,Synonym-English 1,Synonym-Chinnese 1,Antonym-English 1,Antonym-Chinese 1,Synonym-English 2,Synonym-Chinese 2,Antonym-English 2,Antonym-Chinese 2,Phrase,Example-English 1,Example-Chinnese 1,Example-English 2,Example-Chinnese 2,Example-English 3,Example-Chinnese 3,Ex3-Pattern,Ex3-Tense,CEFR,Para
enormous,adj,very large in size,huge,巨大的,tiny,微小的,large,大的,small,小的,enormous fish,The fisherman was surprised when he caught an enormous fish in the small river.,漁夫在小河裡抓到一條巨大的魚時感到很驚訝。,We saw an enormous fish swimming in the deep ocean at the aquarium.,我們在水族館看到一條巨大的魚在深海裡游泳。,They caught an enormous fish in the river.,他們在河裡抓到一條巨大的魚。,S + V + O,過去式,A1,4
excellent,adj + excl,extremely good,great,極好的,bad,壞的,perfect,完美的,poor,差的,excellent idea,Going to the beach on such a hot day is an excellent idea!,在這麼熱的天氣去海灘是一個極好的主意！,The manager said my plan for the new project was an excellent idea.,經理說我對新專案的計畫是一個極好的主意。,That is an excellent idea for our school trip.,那是我們學校旅行的一個極好主意。,S + be + adj,現在簡單式,A1,4
fetch,v,to go and bring something back,get,得到,leave,留下,bring,帶來,drop,放下,fetch the ring,The smart dog ran across the yard to fetch the ring for its owner.,聰明的狗跑過院子，為主人撿回那枚戒指。,Please go upstairs and fetch the ring from my jewelry box.,請上樓去從我的珠寶盒裡拿那枚戒指。,The boy ran to fetch the ring quickly.,男孩快跑過去撿回那枚戒指。,S + V + to + V,過去式,A1,4
frightening,adj,making you feel afraid,scary,可怕的,calming,令人平靜的,terrifying,令人恐懼的,comforting,令人安慰的,frightening crab,The child cried when he saw a frightening crab with huge claws on the beach.,小孩在海灘上看到一隻有著巨大鉗子的可怕螃蟹時哭了。,I did not want to touch the frightening crab hiding under the rock.,我不想碰那隻躲在石頭下可怕的螃蟹。,That frightening crab moved towards us fast.,那隻可怕的螃蟹快速朝我們移動。,S + be + adj,過去式,A1,4
expensive,adj,costing a lot of money,costly,昂貴的,cheap,便宜的,dear,昂貴的,low,低價的,expensive ring,The king gave the queen a very expensive ring with a large diamond.,國王給了王后一枚鑲有大鑽石的非常昂貴的戒指。,He saved money for two years to buy that expensive ring.,他存了兩年的錢來買那枚昂貴的戒指。,Keep your expensive ring in this small box.,把這枚昂貴的戒指放在這個小盒子裡。,S + V + O,現在簡單式,A1,5
explain,v,to make something clear,describe,描述,hide,隱藏,tell,告訴,confuse,使困惑,explain to,The math teacher will explain to the students how to solve this difficult problem.,數學老師將向學生們解釋如何解決這個難題。,Can you explain to me why you are late for school today?,你能向我解釋為什麼你今天上學遲到嗎？,I need to explain to my mom after school.,放學後我需要向媽媽解釋。,S + V + to + V,現在簡單式,A1,5
guess,n + v,to give an answer when you don't know,think,認為,know,知道,suppose,猜想,prove,證明,guess what,Guess what I have inside this mysterious black box!,猜猜看我這個神秘的黑盒子裡有什麼！,You will never guess what happened to me on my way home.,你絕對猜不到我回家的路上發生了什麼事。,Tom can guess what is in the black box.,湯姆能猜出黑盒子裡有什麼。,S + V + O,現在簡單式,A1,5
husband,n,the man that a woman is married to,man,男人,wife,妻子,partner,伴侶,bride,新娘,her husband,The woman and her husband went to the romantic restaurant for their anniversary.,那個女人和她的丈夫去浪漫的餐廳慶祝週年紀念日。,Her husband bought her a beautiful bouquet of red roses.,她的丈夫給她買了一束美麗的紅玫瑰。,She asked her husband to carry the heavy bags.,她請丈夫幫忙提重袋子。,S + V + to + V,過去式,A1,5
wife,n,the woman that a man is married to,woman,女人,husband,丈夫,partner,伴侶,man,男人,his wife,The man cooked a special dinner to surprise his wife on her birthday.,那個男人做了一頓特別的晚餐，想在他妻子的生日給她一個驚喜。,His wife works as a doctor in the city hospital.,他的妻子在市立醫院當醫生。,He bought nice flowers for his wife today.,他今天為妻子買了漂亮的花。,S + V + O,過去式,A1,5
important,adj,having great value,key,關鍵的,minor,次要的,major,重大的,trivial,微不足道的,important treasure,The pirate map shows the location of a very important treasure hidden on the island.,海盜地圖顯示了隱藏在島上一個非常重要的寶藏的位置。,This old necklace is an important treasure to our family history.,這條舊項鍊對我們家族歷史來說是一個重要的寶藏。,The museum keeps the important treasure inside.,博物館把這件重要寶物保存在裡面。,S + V + O,現在簡單式,A1,5
keep,v,to continue to have something,hold,保持,lose,失去,save,保留,drop,丟棄,keep the ring,"My grandmother gave me this necklace, and I will keep the ring safely in my box forever.",我祖母給了我這條項鍊，我會永遠把這枚戒指安全地保留在我的盒子裡。,The princess decided to keep the ring as a memory of the brave knight.,公主決定保留這枚戒指，作為對勇敢騎士的紀念。,You can keep the ring in this wooden box.,你可以把戒指放在這個木盒子裡。,can / must + V,現在簡單式,A1,5
