GrammarPoint,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,DistractorLogic,Explanation
WHQA_How_Long,"It ___ 25 minutes to walk to the station.",is,takes,take,took,B,It takes 表花費時間,花費時間用 It takes + 時間 + to …，不可用 It is 25 minutes to …（常見錯誤）。
WHQA_How_Long,"How long will you be in Japan? ___ weeks.",Ten,For ten,Since ten,At ten,A,How long 答時間長度,問待多久，直接答 Ten weeks 或 Ten 即可。For ten 不完整；Since ten 表「自從」；At ten 像幾點。
WHQA_How_Long,"___ long did you wait? Thirty minutes.",How,What,How often,How much,A,How long 問「等了多久」,答 Thirty minutes 是「時長」，問句用 How long did you wait? How often 問頻率；How much 問量。
WHQA_How_Long,"How long does it take to get there? It takes 40 minutes ___.",for get,to get,getting,at get,B,It takes … to + 原形,答句：It takes 40 minutes to get there。to 後接原形 get，不可寫 for get 或 getting。
WHQA_How_Long,"How ___ is the flight from Taipei to Tokyo? About three hours.",far,long,often,much,B,How long 與 How far 混淆,答 three hours 是「時間長度」，用 How long。How far 問距離（公里、英里）；How often 問頻率。
WHQA_How_Long,"The homework ___ me two hours to finish.",took,takes,is,was,A,It takes / took + 人 + 時間 + to,花費某人時間：It took me two hours to finish。不可用 It is me two hours。
WHQA_How_Long,"How long ___ the concert last night?",was,were,is,did,A,過去事件用 was,last night 表過去，主詞 the concert 用 How long was the concert?
WHQA_How_Long,"How long ___ it take to bake a cake?",do,does,did,is,B,虛主詞 it 用 does,How long does it take to …? 問「要花多久」。
WHQA_How_Long,"It ___ 30 minutes to drive to the airport.",is,takes,take,took,B,It takes 非 It is,花費時間正確句型 It takes 30 minutes to drive …，不可用 It is 30 minutes to drive。
WHQA_How_Long,"How long ___ you been in this class?",are,have,has,did,B,現在完成 How long have,問「在這班多久了」：How long have you been …?
WHQA_How_Long,"The meeting ___ two hours yesterday.",is,took,takes,was,D,過去持續用 was,會議「持續兩小時」過去式：The meeting was two hours。took 用於 it takes 句型。
WHQA_How_Long,"How long did you ___ at the beach?",stay,stayed,staying,stays,A,did 後原形動詞,did 後接原形 stay，不可寫 stayed。
WHQA_How_Long,"___ long is your lunch break? Forty-five minutes.",How,What,How often,How far,A,How long 問時長,答 Forty-five minutes 是時長，用 How long is …?
WHQA_How_Long,"How long will she ___ in Canada?",be,been,is,being,A,will 後接原形 be,How long will she be in Canada? will 後用原形 be。
WHQA_How_Long,"It took us an hour ___ finish the project.",to,for,at,in,A,It took … to + 原形,It took us an hour to finish …，to 後接原形 finish。
WHQA_How_Long,"How many days ___ you be in Hong Kong? Ten.",will,are,do,did,A,How many days will 問停留天數,How many days will you be …? 與 How long will you be …? 意思接近，問停留天數。
WHQA_How_Long,"How long ___ the store open today?",is,are,does,do,A,營業多久用 How long is,問「今天開多久」：How long is the store open? 主詞 the store 用 is。
WHQA_How_Long,"The trip ___ three days by train.",lasted,is,last,takes,A,持續用 last 過去式,旅程「持續三天」：The trip lasted three days。is 用於 How long is …? 問句。
WHQA_How_Long,"How long does it take you ___ get ready?",to,for,at,in,A,take to + 原形,How long does it take you to get ready? 不可漏 to。
WHQA_How_Long,"The answer is ""Two kilometers."" Which question is WRONG?",How far is it to the station?,How long is it to the station?,How far do you live from school?,How far is the park?,B,How long 與 How far 混淆,兩公里是「距離」，不可用 How long is it to the station? 應用 How far。其餘三項皆用 How far 問距離。
WHQA_How_Long,"How long ___ the summer camp?",was,were,is,are,C,現在狀態用 is,問營隊「為期多久」：How long is the summer camp? was/were 用於過去特定事件。
WHQA_How_Long,"It ___ him 15 minutes to finish the quiz.",is,takes,took,take,C,過去完成用 took,It took him 15 minutes to finish … 過去式 took。takes 用於現在習慣；is 為常見錯誤。
WHQA_How_Long,"How long ___ the game last Saturday?",was,were,is,does,A,過去單一事件,last Saturday 表過去，How long was the game?
WHQA_How_Long,"___ is it from the hotel to the beach? About 500 meters.",How long,How far,How often,How much,B,500 meters 是距離,問距離用 How far is it from … to …? 不可用 How long。
