Word,POS,Definition,Synonym-English 1,Synonym-Chinnese 1,Antonym-English 1,Antonym-Chinese 1,Synonym-English 2,Synonym-Chinese 2,Antonym-English 2,Antonym-Chinese 2,Phrase,Example-English 1,Example-Chinnese 1,Example-English 2,Example-Chinnese 2,Example-English 3,Example-Chinnese 3,Ex3-Pattern,Ex3-Tense,CEFR,Para
Meal,n,food you eat at one time,food,食物,dessert,甜點,dish,菜,snack,點心,have a meal,Our family sits together at the dining table to have a meal every evening.,我們全家每天傍晚坐在餐桌旁一起用餐。,It is important to wash your hands before you have a meal.,在用餐前洗手是很重要的。,We will have a meal at the cafe today.,我們今天會在咖啡館吃一餐。,S + V + O,未來式,A1,4
Silver,n+adj,a shiny gray metal,metal,金屬,plastic,塑膠,gray,灰色的,black,黑色的,silver ring,The queen wears a shiny silver ring on her left finger.,女王在左手手指上戴著一枚閃亮的銀色戒指。,He bought a beautiful silver ring as a gift for his wife.,他買了一枚美麗的銀色戒指作為給妻子的禮物。,She found a silver ring in the box.,她在盒子裡找到一枚銀戒指。,S + V + O,過去式,A1,"4, 5"
Empty,adj,with nothing inside,vacant,空的,full,滿的,blank,空白,filled,充滿的,empty bottle,Please throw the empty bottle into the recycling bin after drinking the juice.,喝完果汁後，請將空瓶子丟進資源回收桶。,He filled the empty bottle with fresh water from the river.,他用河裡的新鮮水裝滿了空瓶子。,There is nothing in this empty bottle.,這個空瓶子裡什麼都沒有。,There is/are…,現在簡單式,A1,5
Heavy,adj,weighing a lot; not light,big,重的,light,輕的,thick,厚重的,thin,薄的,heavy rain,We cannot play baseball outside because of the heavy rain.,因為下大雨，我們不能在外面打棒球。,The heavy rain caused a terrible flood in the small town.,這場大雨在小鎮引發了可怕的洪水。,We need umbrellas in this heavy rain today.,今天這場大雨我們需要雨傘。,片語,現在簡單式,A1,5
Horrible,adj,very bad or unpleasant,terrible,可怕的,great,很好的,awful,糟糕的,wonderful,很棒的,horrible day,"I lost my keys and failed my test, so it was a horrible day.",我弄丟了鑰匙又考不及格，所以這是糟糕的一天。,The bad weather and the traffic jam made it a horrible day.,壞天氣和塞車讓這成了糟糕的一天。,Today was a horrible day at school.,今天是在學校糟糕的一天。,S + be + adj,過去式,A1,5
Instead,v,in place of something else,rather,反而,same,相同,else,其他,together,一起,instead of,I will drink apple juice instead of milk for breakfast.,我早餐將喝蘋果汁而不是牛奶。,Let's play video games inside instead of going out in the rain.,我們在室內打電動吧，而不是冒雨出門。,I read a book instead of watching TV.,我看書而不是看電視。,片語,過去式,A1,5
Disappear,v,to go away so you cannot see it,vanish,消失,appear,出現,fade,逐漸消失,show up,現身,disappear quickly,The shy cat will disappear quickly into the bushes when it sees a dog.,害羞的貓看到狗時會快速消失在灌木叢中。,The snow will disappear quickly when the sun comes out.,太陽出來時，雪會快速消失。,The bird will disappear quickly from the cage.,那隻鳥會從籠子裡快速消失。,S + V + O,未來式,A1,6
Future,n,the time after now,tomorrow,未來,past,過去,later,之後,history,歷史,in the future,I want to be a brave police officer in the future.,我未來想要成為一名勇敢的警察。,Flying cars might be everywhere in the future.,未來飛行汽車可能會無處不在。,I want to be a doctor in the future.,我未來想成為一位醫生。,S + like / want + n / v-ing,現在簡單式,A1,6
Journey,n,a trip from one place to another,trip,旅行,stay,停留,travel,旅遊,remain,留下,long journey,They packed a lot of food for the long journey across the desert.,他們為穿越沙漠的漫長旅程打包了很多食物。,The train ride to the mountains is a very long journey.,搭火車去山裡的車程是一段非常漫長的旅程。,He was tired after the long journey home.,長途旅行回家後，他覺得很累。,S + be + adj,過去式,A1,6
Journalist,n,a person who writes news,reporter,記者,reader,讀者,writer,寫作者,audience,觀眾,news journalist,The news journalist is interviewing the mayor for the evening TV show.,這位新聞記者正在為晚間電視節目採訪市長。,She wants to be a news journalist and report stories around the world.,她想要成為一名新聞記者，報導世界各地的故事。,The news journalist took photos of the fire.,那位新聞記者拍下了火災的照片。,S + V + O,過去式,A1,6
Perhaps,adv,maybe; not sure,maybe,可能,sure,確定,possibly,可能,certainly,一定,perhaps we can,"It is sunny now, so perhaps we can go to the beach this afternoon.",現在天氣晴朗，所以或許我們今天下午可以去海灘。,Perhaps we can ask the teacher for help with this difficult math problem.,或許我們可以請老師幫忙解決這道困難的數學題。,Perhaps we can play outside after lunch.,或許我們午餐後可以在外面玩。,片語,現在簡單式,A1,6
